"Japanese"	"Furigana"	"Romaji"	"English"
"始めまして"	"はじめまして"	"hajimemashite"	"Nice to meet you."
"よろしくお願いします"	"よろしく おねがいします"	"yoroshiku onegaishimasu"	"Nice to meet you. (more formal)"
"よろしくお願い致します"	"よろしく おねがいいたします"	"yoroshiku onegaiitashimasu"	"Nice to meet you. (really formal)"
"お早うございます"	"おはようございます"	"ohayoo gozaimasu"	"Good Morning."
"今日は"	"こんにちは"	"konnichi wa"	"Hello. (after morning, before evening) or Good day."
"今晩は"	"こんばんは"	"konban wa"	"Hello. (during evening) or Good evening."
"ただいま"	"ただいま"	"tadaima"	"I'm home. (said when someone returns home)"
"おやすみ"	"おやすみ"	"oyasumi"	"Good night. (informal - to family members, if going to bed)"
"おやすみなさい"	"おやすみなさい"	"oyasuminasai"	"Good night. (to family members, if going to bed)"
"じゃあ"	"じゃあ"	"jaa"	"See you later. (very informal)"
"さようなら"	"さようなら"	"sayoonara"	"Goodbye. (not a casual goodbye, but when you might not see them again, or for a while)"
"申し申し"	"もしもし"	"moshimoshi"	"Hello. (when you answer the phone)"
"いらっしゃいませ"	"いらっしゃいませ"	"irasshaimase"	"Welcome. (usually said by store or restaurant employees to you when you enter)"
"ようこそ"	"ようこそ"	"yookoso"	"Welcome"
"お元気ですか"	"おげんきですか"	"ogenki desuka"	"How are you?"
"元気"	"げんき"	"genki"	"How's it going? (informal)"
"私は元気です"	"わたしわ　げんきです"	"watashiwa genkidesu"	"I'm fine."
"元気よ"	"げんきよ"	"genki yo"	"I'm fine. (informal)"
"どうも　ありがとうございます"	"どうも　ありがとうございます"	"doomo arigatoo gozaimasu"	"Thank you very much."
"ありがとうございます"	"ありがとうございます"	"arigatoo gozaimasu"	"Thank you."
"ありがとう"	"ありがとう"	"arigatoo"	"Thanks. (informal)"
"どういたしまして"	"どういたしまして"	"dooitshimashite"	"You're welcome."
"...ください"	"...ください"	"... kudasai"	"... please. (when requesting something)"
"どうぞ"	"どうぞ"	"doozo"	"Please. (when offering something, like please take it, please go first, etc.)"
"すみません"	"すみません"	"sumimasen"	"Excuse me (to get someone's attention)"
"ごめん　なさい"	"ごめん　なさい"	"gomen nasai"	"Sorry (when you make a mistake)"
"英語を話しますか"	"えいごをはなしますか"	"eigo o hanashimasuka"	"Do you speak English?"
"日本語を話しますか"	"にほんごをはなしますか"	"nihongo o hanashimasuka"	"Do you speak Japanese?"
"はい"	"はい"	"hai"	"Yes."
"いいえ"	"いいえ"	"iie"	"No."
"ちょっと"	"ちょっと"	"chotto"	"A little."
"分かりますか"	"わかりますか"	"wakarimasuka"	"Do you understand?"
"分かりません"	"わかりません"	"wakarimasen"	"I don't understand."
"知りません"	"しりません"	"shirimasen"	"I don't know."
"お久しぶりですね"	"おひさしぶりですね"	"ohisashiburi desu ne"	"Long time no see. (formal)"
"久しぶり"	"ひさしぶり"	"hisashiburi"	"Long time no see. (informal)"
"お名前はなんですか"	"おなまえはなんですか"	"onamae wa nan desu ka"	"What is your name?"
"...です"	"...です"	"...desu"	"I am ..."
"...だ"	"...だ"	"...da"	"I am ... (informal)"
"頑張って下さい"	"がんばってください"	"gambatte kudasai"	"Good luck or give it your best (formal)"
"頑張ってね"	"がんばってね"	"gambatte ne"	"Good luck or give it your best (informal)"
"乾杯"	"かんぱい"	"kampai"	"Cheers (when making a toast)"
"ゆっくり話してください"	"ゆっくりはなしてください"	"yukkuri hanashite kudasai"	"Please speak slowly."
"もう一度、言ってください"	"もういちど、いってください"	"moo ichido itte kudasai"	"Please say that again."
"書いてください"	"かいてください"	"kaite kudasai"	"Please write it down."
"...は日本語でなんと言いますか"	"...はにほんごでなんといいますか"	"...wa nihongode nanto iimasuka"	"How do you say ... in Japanese?"
"いくらですか"	"いくらですか"	"ikura desu ka"	"How much (is this)?"
"トイレはどこですか"	"トイレはどこですか"	"toire wa doko desu ka"	"Where is the bathroom (toilet)?"
"お大事に"	"おだいじに"	"odaiji ni"	"Get well soon."
"ほっといて"	"ほっといて"	"hottoite"	"Leave me alone!"
"助けて"	"たすけて"	"tasukete"	"Help!"
"明けましておめでとうございます"	"あけましておめでとうございます"	"akemashite omedetoo gozaimasu"	"Happy New Year!"
"お誕生日おめでとうございます"	"おたんじょうびおめでとうございます"	"otanjoobi omedetoo gozaimasu"	"Happy birthday!"
"私は菜食主義者です"	"わたしわさいしょくしゅぎしゃです"	"watashiwa saishokushugisha desu"	"I am a vegetarian."
"英語のメ二ューはありますか"	"えいごのメ二ューはありますか"	"eigo no menyuu wa arimasu ka"	"Do you have an English menu?"
